title,duration,url,views
Scorpions - Still Loving You ( lyrics ),6:27,https://www.youtube.com/watch?v=EYyarcp5LtU,80 M de vues
Pink Floyd  Greatest Hits | Pink Floyd  Full Album Best Songs,1:45:55,https://www.youtube.com/watch?v=xgoNSNnfvZM,"3,7 M de vues"
Metallica - Nothing else matter lyrics,6:37,https://www.youtube.com/watch?v=x7bIbVlIqEc,87 M de vues
"Phil Collins, Elton John, Lionel Richie, George Michael, Eric Clapton   Best Soft Rock Songs EVER",1:22:04,https://www.youtube.com/watch?v=FFVYsty9p1M,15 M de vues
The Animals - House of the Rising Sun (1964) HQ/Widescreen ♫ 58 YEARS AGO,4:09,https://www.youtube.com/watch?v=4-43lLKaqBQ,170 M de vues
Heart - Stairway to Heaven Led Zeppelin - Kennedy Center Honors HD,6:56,https://www.youtube.com/watch?v=2cZ_EFAmj08,94 M de vues
Aerosmith - Dream on- Lyrics,4:28,https://www.youtube.com/watch?v=L9srmft6STc,17 M de vues
"Eagles perform ""Hotel California"" at the 1998 Rock & Roll Hall of Fame Induction Ceremony",6:41,https://www.youtube.com/watch?v=FVsbvFkhzY4,67 M de vues
Eagles - Hotel California (Lyrics),6:33,https://www.youtube.com/watch?v=Fs5300fR9to,521 k vues
Comfortably Numb,6:23,https://www.youtube.com/watch?v=x-xTttimcNk,62 M de vues
Queen - Bohemian Rhapsody (with lyrics),5:55,https://www.youtube.com/watch?v=axAtWjn3MfI,49 M de vues
Stairway to Heaven Live,10:40,https://www.youtube.com/watch?v=xbhCPt6PZIU,115 M de vues
Michel Berger Best Of - Michel Berger Greatest Hits 2022 [Full Album],1:16:11,https://www.youtube.com/watch?v=oE3D_vMRYho,442 k vues
DireStraits Greatest Hits Full Playlist 2021 | Best Songs Of DireStraits All Time,1:52:54,https://www.youtube.com/watch?v=JuZ-to4l2fA,"4,5 M de vues"
Metallica The Unforgiven Lyrics,6:28,https://www.youtube.com/watch?v=mTwjUE60HG4,21 M de vues
Heart - Stairway to Heaven (Live at Kennedy Center Honors) [FULL VERSION],7:59,https://www.youtube.com/watch?v=LFxOaDeJmXk,34 M de vues
Eric Clapton - Tears In Heaven (lyrics),4:37,https://www.youtube.com/watch?v=ZqtyQuXo9zM,25 M de vues
"Georges Brassens ""The 25 songs"" GR 069/16 (Full Album)",1:14:08,https://www.youtube.com/watch?v=qbgyN0mLfkc,"2,6 M de vues"
Knockin' On Heaven's Door,5:36,https://www.youtube.com/watch?v=f8OHybVhQwc,162 M de vues
